"goal","dimension","region_id","score"
"CS","pressures",7,11.5
"CS","pressures",8,11.5
"CS","pressures",9,11.5
"CS","pressures",10,11.5
"CS","pressures",11,11.5
"CS","resilience",1,67.2
"CS","resilience",2,67.2
"CS","resilience",3,67.2
"CS","resilience",4,67.2
"CS","resilience",5,67.2
"CS","resilience",6,67.2
"CS","resilience",7,67.2
"CS","resilience",8,67.2
"CS","resilience",9,67.2
"CS","resilience",10,67.2
"CS","resilience",11,67.2
"CS","score",0,55.02
"CS","score",1,55.02
"CS","score",2,55.02
"CS","score",3,55.02
"CS","score",4,55.01
"CS","score",5,55.02
"CS","score",6,55.02
"CS","score",7,55.03
"CS","score",8,55.03
"CS","score",9,55.03
"CS","score",10,55.03
"CS","score",11,55.03
"CS","status",0,50.39
"CS","status",1,50.39
"CS","status",2,50.39
"CS","status",3,50.39
"CS","status",4,50.39
"CS","status",5,50.39
"CS","status",6,50.39
"CS","status",7,50.39
"CS","status",8,50.39
"CS","status",9,50.39
"CS","status",10,50.39
"CS","status",11,50.39
"CS","trend",1,0
"CS","trend",2,0
"CS","trend",3,0
"CS","trend",4,0
"CS","trend",5,0
"CS","trend",6,0
"CS","trend",7,0
"CS","trend",8,0
"CS","trend",9,0
"CS","trend",10,0
"CS","trend",11,0
"CW","future",0,98.42
"CW","future",1,98.42
"CW","future",2,98.42
"CW","future",3,98.42
"CW","future",4,98.42
"CW","future",5,98.42
"CW","future",6,98.42
"CW","future",7,98.42
"CW","future",8,98.42
"CW","future",9,98.42
"CW","future",10,98.42
"CW","future",11,98.42
"CW","pressures",1,34.1
"CW","pressures",2,34.1
"CW","pressures",3,34.1
"CW","pressures",4,34.1
"CW","pressures",5,34.1
"CW","pressures",6,34.1
"CW","pressures",7,34.1
"CW","pressures",8,34.1
"CW","pressures",9,34.1
"CW","pressures",10,34.1
"CW","pressures",11,34.1
"CW","resilience",1,66.1
"CW","resilience",2,66.1
"CW","resilience",3,66.1
"CW","resilience",4,66.1
"CW","resilience",5,66.1
"CW","resilience",6,66.1
"CW","resilience",7,66.1
"CW","resilience",8,66.1
"CW","resilience",9,66.1
"CW","resilience",10,66.1
"CW","resilience",11,66.1
"CW","score",0,91.74
"CW","score",1,91.74
"CW","score",2,91.74
"CW","score",3,91.74
"CW","score",4,91.74
"CW","score",5,91.74
"CW","score",6,91.74
"CW","score",7,91.74
"CW","score",8,91.74
"CW","score",9,91.74
"CW","score",10,91.74
"CW","score",11,91.74
"CW","status",0,85.06
"CW","status",1,85.06
"CW","status",2,85.06
"CW","status",3,85.06
"CW","status",4,85.06
"CW","status",5,85.06
"CW","status",6,85.06
"CW","status",7,85.06
"CW","status",8,85.06
"CW","status",9,85.06
"CW","status",10,85.06
"CW","status",11,85.06
"CW","trend",1,0.08
"CW","trend",2,0.08
"CW","trend",3,0.08
"CW","trend",4,0.08
"CW","trend",5,0.08
"CW","trend",6,0.08
"CW","trend",7,0.08
"CW","trend",8,0.08
"CW","trend",9,0.08
"CW","trend",10,0.08
"CW","trend",11,0.08
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","future",4,100
"ECO","future",5,100
"ECO","future",6,100
"ECO","future",7,100
"ECO","future",8,100
"ECO","future",9,100
"ECO","future",10,100
"ECO","future",11,100
"ECO","pressures",1,11.83
"ECO","pressures",2,11.83
"ECO","pressures",3,11.83
"ECO","pressures",4,11.83
"ECO","pressures",5,11.83
"ECO","pressures",6,11.83
"ECO","pressures",7,11.83
"ECO","pressures",8,11.83
"ECO","pressures",9,11.83
"ECO","pressures",10,11.83
"ECO","pressures",11,11.83
"ECO","resilience",1,78.24
"ECO","resilience",2,78.24
"ECO","resilience",3,78.24
"ECO","resilience",4,78.24
"ECO","resilience",5,78.24
"ECO","resilience",6,78.24
"ECO","resilience",7,78.24
"ECO","resilience",8,78.24
"ECO","resilience",9,78.24
"ECO","resilience",10,78.24
"ECO","resilience",11,78.24
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","score",4,100
"ECO","score",5,100
"ECO","score",6,100
"ECO","score",7,100
"ECO","score",8,100
"ECO","score",9,100
"ECO","score",10,100
"ECO","score",11,100
"ECO","status",0,100
"ECO","status",1,100
