"rgn_id","rgn_name","area_km2"
4,"British Columbia",36630.8007812
8,"Manitoba",4055.42993164
3,"New Brunswick",6604.68994141
5,"Newfoundland and Labrador",63083.6992188
11,"Northwest Territories",55025.8984375
1,"Nova Scotia",17607.5
10,"Nunavut",344396.9023437
7,"Ontario",8917.79003906
2,"Prince Edward Island",3892.18994141
6,"Québec",82665.703125
9,"Yukon",1503.81005859
