"rgn_id","product","year","tonnes"
4,"corals",1990,40.2651620483051
8,"corals",1990,4.45779343859821
3,"corals",1990,7.25998081118041
5,"corals",1990,69.3426110672187
11,"corals",1990,60.4853475814987
1,"corals",1990,19.3544455934853
10,"corals",1990,17.2791257990511
10,"corals",1990,55.8344573705329
10,"corals",1990,66.4603593886917
10,"corals",1990,95.5207705596067
10,"corals",1990,143.471869814163
7,"corals",1990,9.80257743149859
2,"corals",1990,4.27835743067047
6,"corals",1990,90.8674629322741
9,"corals",1990,1.65301206655777
4,"corals",1991,45.4816418814209
8,"corals",1991,5.03531475950451
3,"corals",1991,8.20053442039964
5,"corals",1991,78.3261669206333
11,"corals",1991,68.3214167740023
1,"corals",1991,21.8618755896301
10,"corals",1991,19.5176915139111
10,"corals",1991,63.067988940999
10,"corals",1991,75.0705103682612
10,"corals",1991,107.895790252067
10,"corals",1991,162.059106954974
7,"corals",1991,11.0725325212763
2,"corals",1991,4.83263224593582
6,"corals",1991,102.639631818716
9,"corals",1991,1.86716503826943
4,"corals",1992,44.8803044686063
8,"corals",1992,4.96874013675711
3,"corals",1992,8.09211071474456
5,"corals",1992,77.2905742589932
11,"corals",1992,67.4181023310052
1,"corals",1992,21.572827895604
10,"corals",1992,19.2596375467811
10,"corals",1992,62.2341329117887
10,"corals",1992,74.077962504637
10,"corals",1992,106.469241590237
10,"corals",1992,159.916435756923
7,"corals",1992,10.9261365737199
2,"corals",1992,4.76873739844038
6,"corals",1992,101.282577673419
9,"corals",1992,1.8424782383439
4,"corals",1993,60.7057451619481
8,"corals",1993,6.72078935491428
3,"corals",1993,10.945505309911
5,"corals",1993,104.544342110449
11,"corals",1993,91.1906946235393
1,"corals",1993,29.1797172091193
10,"corals",1993,26.0508626817408
10,"corals",1993,84.1787830463704
10,"corals",1993,100.198917257089
10,"corals",1993,144.011827105225
10,"corals",1993,216.305270456832
7,"corals",1993,14.7788494374597
2,"corals",1993,6.4502627752107
6,"corals",1993,136.996270911856
9,"corals",1993,2.4921625583351
4,"corals",1994,65.9417806832855
8,"corals",1994,7.30047570420261
3,"corals",1994,11.8895848932979
5,"corals",1994,113.561575773998
11,"corals",1994,99.0561398954899
1,"corals",1994,31.6965471302731
10,"corals",1994,28.2978203955319
10,"corals",1994,91.4394318860791
10,"corals",1994,108.841346215963
10,"corals",1994,156.433238624086
10,"corals",1994,234.962187961806
7,"corals",1994,16.0535653710604
2,"corals",1994,7.00661547169541
6,"corals",1994,148.812571640422
