"rgn_id","pressures.score"
4,0.92134307
8,0.92134307
3,0.92134307
5,0.92134307
11,0.92134307
1,0.92134307
10,0.92134307
7,0.92134307
2,0.92134307
6,0.92134307
9,0.92134307
