"rgn_id","year","count"
4,1990,7322949.60623432
8,1990,1559.41321313672
3,1990,1038948.90829205
5,1990,943399.571421594
11,1990,3851.16076054883
1,1990,2103115.35027116
10,1990,28096.2370474075
10,1990,51658.1751573702
7,1990,10739.1653771915
2,1990,354597.174398755
6,1990,2861099.88716512
9,1990,55.210801248089
4,1991,7372062.64372767
8,1991,1569.87177474408
3,1991,1045916.85692346
5,1991,949726.696557481
11,1991,3876.9894515813
1,1991,2117220.37469503
10,1991,28284.6708913816
10,1991,52004.6325317569
7,1991,10811.1900476014
2,1991,356975.361503369
6,1991,2880288.508361
9,1991,55.5810851224212
4,1992,7353737.6010832
8,1992,1565.96947919821
3,1992,1043316.9779029
5,1992,947365.921418135
11,1992,3867.35225769597
1,1992,2111957.51197546
10,1992,28214.362508868
10,1992,51875.3624543159
7,1992,10784.3162229699
2,1992,356088.013004216
6,1992,2873128.85545314
9,1992,55.4429249080664
4,1993,7404379.02740789
8,1993,1576.75350934851
3,1993,1050501.76783366
5,1993,953889.94554227
11,1993,3893.98473291522
1,1993,2126501.48220467
10,1993,28408.6603799371
10,1993,52232.6015194424
7,1993,10858.5822880777
2,1993,358540.208860783
6,1993,2892914.62306516
9,1993,55.8247319495011
4,1994,7459720.87424224
8,1994,1588.53848833013
3,1994,1058353.43341149
5,1994,961019.514553746
11,1994,3923.08917312103
1,1994,2142395.39024012
10,1994,28620.9925317213
10,1994,52622.9986914873
7,1994,10939.741558234
2,1994,361220.011886706
6,1994,2914536.86003897
9,1994,56.2419774408087
4,1995,7486611.99402149
8,1995,1594.26491958456
3,1995,1062168.63098073
5,1995,964483.838663418
11,1995,3937.23129219459
1,1995,2150118.3884628
10,1995,28724.166705574
10,1995,52812.6963202341
7,1995,10979.1776049114
2,1995,362522.153182615
6,1995,2925043.30674463
9,1995,56.4447209184105
4,1996,7560582.773484
8,1996,1610.01690711451
3,1996,1072663.29019601
5,1996,974013.332295771
11,1996,3976.13274292295
1,1996,2171362.43493646
10,1996,29007.973186038
10,1996,53334.5072963397
7,1996,11087.656356841
2,1996,366104.019888778
6,1996,2953943.92741715
9,1996,57.0024177786475
4,1997,7685895.73753576
8,1997,1636.70215041501
3,1997,1090442.15994073
5,1997,990157.127205865
11,1997,4042.03519970531
1,1997,2207351.70598932
10,1997,29488.7661632441
10,1997,54218.5006862388
7,1997,11271.4288415939
2,1997,372172.01507619
6,1997,3002904.10420214
9,1997,57.9472049920104
4,1998,7813926.16576017
8,1998,1663.96607440634
3,1998,1108606.57193104
5,1998,1006651.00707812
11,1998,4109.36677889771
1,1998,2244121.41947627
10,1998,29979.9853377706
10,1998,55121.6638434807
7,1998,11459.1865097395
2,1998,378371.597283719
6,1998,3052926.00295107
9,1998,58.9124803122704
4,1999,7955212.30935577
8,1999,1694.05278686556
3,1999,1128651.64837408
5,1999,1024852.59175138
11,1999,4183.66957783564
1,1999,2284698.10965635
10,1999,30522.0632155969
10,1999,56118.3365977158
7,1999,11666.3837926878
2,1999,385213.057350307
6,1999,3108126.95219087
9,1999,59.977696053551
4,2000,8079423.03945113
8,2000,1720.50331078547
3,2000,1146274.13785849
5,2000,1040854.38827313
11,2000,4248.99236653476
1,2000,2320370.82450195
10,2000,30998.6272101954
10,2000,56994.5545149097
7,2000,11848.5398423457
2,2000,391227.679366048
6,2000,3156656.48263554
9,2000,60.9141730608947
4,2001,8203710.28714339
8,2001,1746.9701290346
3,2001,1163907.48333373
5,2001,1056866.04238942
11,2001,4314.3553960634
1,2001,2356065.51482756
10,2001,31475.484782745
10,2001,57871.3122090564
7,2001,12030.8081056841
2,2001,397246.006572337
6,2001,3205215.90875062
9,2001,61.8512269666279
4,2002,8422471.74136554
8,2002,1793.55511467326
3,2002,1194944.42695095
5,2002,1085048.60177519
11,2002,4429.40268898806
1,2002,2418892.73571005
10,2002,32314.8151079773
10,2002,59414.5179017827
7,2002,12351.6235641227
2,2002,407839.032293625
6,2002,3290686.7102236
9,2002,63.5005617045755
4,2003,8628382.32725343
8,2003,1837.4035235282
3,2003,1224158.14408918
5,2003,1111575.61191772
11,2003,4537.69167241599
1,2003,2478029.24999051
10,2003,33104.8400218115
10,2003,60867.0699039838
7,2003,12653.5931192432
2,2003,417809.783952557
6,2003,3371136.63624089
9,2003,65.0530083338211
4,2004,8747449.71077322
8,2004,1862.75877804972
3,2004,1241050.91746232
5,2004,1126914.8023564
11,2004,4600.30956000629
1,2004,2512224.82082769
10,2004,33561.6703445462
10,2004,61707.0051874601
7,2004,12828.2064091612
2,2004,423575.351111892
6,2004,3417656.64468988
9,2004,65.9507074851364
4,2005,8813423.28977836
8,2005,1876.80777146775
3,2005,1250410.96792958
5,2005,1135414.03415578
11,2005,4635.00525946615
1,2005,2531172.11040072
10,2005,33814.7936642829
10,2005,62172.4016305962
7,2005,12924.9572013363
2,2005,426769.971580163
6,2005,3443432.73350617
9,2005,66.4481100829881
4,2006,8917497.14311737
8,2006,1898.97017197106
3,2006,1265176.5230846
5,2006,1148821.64091476
11,2006,4689.73800538551
1,2006,2561061.61262163
10,2006,34214.0977440707
10,2006,62906.5682757568
7,2006,13077.5823568471
2,2006,431809.511151948
6,2006,3484094.72164706
9,2006,67.2327666955273
4,2007,9112947.36339608
8,2007,1940.59105869048
3,2007,1292906.16809146
5,2007,1174001.06504848
11,2007,4792.52585173873
1,2007,2617193.96100377
10,2007,34963.9889785049
10,2007,64285.3298754691
7,2007,13364.2117004103
2,2007,441273.743404406
6,2007,3560457.74928687
9,2007,68.7063482229102
4,2008,9277390.66818723
