"rgn_id","product","year","usd_rel"
4,"corals",1990,0.287302287801165
8,"corals",1990,0.287302287801165
3,"corals",1990,0.287302287801165
5,"corals",1990,0.287302287801165
11,"corals",1990,0.287302287801165
1,"corals",1990,0.287302287801165
10,"corals",1990,0.287302287801165
7,"corals",1990,0.287302287801165
2,"corals",1990,0.287302287801165
6,"corals",1990,0.287302287801165
9,"corals",1990,0.287302287801165
4,"corals",1991,0.321967879962392
8,"corals",1991,0.321967879962392
3,"corals",1991,0.321967879962392
5,"corals",1991,0.321967879962392
11,"corals",1991,0.321967879962392
1,"corals",1991,0.321967879962392
10,"corals",1991,0.321967879962392
7,"corals",1991,0.321967879962392
2,"corals",1991,0.321967879962392
6,"corals",1991,0.321967879962392
9,"corals",1991,0.321967879962392
4,"corals",1992,0.321584128019648
8,"corals",1992,0.321584128019648
3,"corals",1992,0.321584128019648
5,"corals",1992,0.321584128019648
11,"corals",1992,0.321584128019648
1,"corals",1992,0.321584128019648
10,"corals",1992,0.321584128019648
7,"corals",1992,0.321584128019648
2,"corals",1992,0.321584128019648
6,"corals",1992,0.321584128019648
9,"corals",1992,0.321584128019648
4,"corals",1993,0.380490051230884
8,"corals",1993,0.380490051230884
3,"corals",1993,0.380490051230884
5,"corals",1993,0.380490051230884
11,"corals",1993,0.380490051230884
1,"corals",1993,0.380490051230884
10,"corals",1993,0.380490051230884
7,"corals",1993,0.380490051230884
2,"corals",1993,0.380490051230884
6,"corals",1993,0.380490051230884
9,"corals",1993,0.380490051230884
4,"corals",1994,0.464339850720494
8,"corals",1994,0.464339850720494
3,"corals",1994,0.464339850720494
5,"corals",1994,0.464339850720494
11,"corals",1994,0.464339850720494
1,"corals",1994,0.464339850720494
10,"corals",1994,0.464339850720494
7,"corals",1994,0.464339850720494
2,"corals",1994,0.464339850720494
6,"corals",1994,0.464339850720494
9,"corals",1994,0.464339850720494
4,"corals",1995,0.478730548573402
8,"corals",1995,0.478730548573402
3,"corals",1995,0.478730548573402
5,"corals",1995,0.478730548573402
11,"corals",1995,0.478730548573402
1,"corals",1995,0.478730548573402
10,"corals",1995,0.478730548573402
7,"corals",1995,0.478730548573402
2,"corals",1995,0.478730548573402
6,"corals",1995,0.478730548573402
9,"corals",1995,0.478730548573402
4,"corals",1996,0.505785060536869
8,"corals",1996,0.505785060536869
3,"corals",1996,0.505785060536869
5,"corals",1996,0.505785060536869
11,"corals",1996,0.505785060536869
1,"corals",1996,0.505785060536869
10,"corals",1996,0.505785060536869
7,"corals",1996,0.505785060536869
2,"corals",1996,0.505785060536869
6,"corals",1996,0.505785060536869
9,"corals",1996,0.505785060536869
4,"corals",1997,0.501755665138055
8,"corals",1997,0.501755665138055
3,"corals",1997,0.501755665138055
5,"corals",1997,0.501755665138055
11,"corals",1997,0.501755665138055
1,"corals",1997,0.501755665138055
10,"corals",1997,0.501755665138055
7,"corals",1997,0.501755665138055
2,"corals",1997,0.501755665138055
6,"corals",1997,0.501755665138055
9,"corals",1997,0.501755665138055
4,"corals",1998,0.593280503482549
8,"corals",1998,0.593280503482549
3,"corals",1998,0.593280503482549
5,"corals",1998,0.593280503482549
11,"corals",1998,0.593280503482549
1,"corals",1998,0.593280503482549
10,"corals",1998,0.593280503482549
7,"corals",1998,0.593280503482549
2,"corals",1998,0.593280503482549
6,"corals",1998,0.593280503482549
9,"corals",1998,0.593280503482549
4,"corals",1999,0.735844350212023
8,"corals",1999,0.735844350212023
3,"corals",1999,0.735844350212023
5,"corals",1999,0.735844350212023
11,"corals",1999,0.735844350212023
1,"corals",1999,0.735844350212023
10,"corals",1999,0.735844350212023
7,"corals",1999,0.735844350212023
2,"corals",1999,0.735844350212023
6,"corals",1999,0.735844350212023
9,"corals",1999,0.735844350212023
4,"corals",2000,0.758869466776676
8,"corals",2000,0.758869466776676
3,"corals",2000,0.758869466776676
5,"corals",2000,0.758869466776676
11,"corals",2000,0.758869466776676
1,"corals",2000,0.758869466776676
10,"corals",2000,0.758869466776676
7,"corals",2000,0.758869466776676
2,"corals",2000,0.758869466776676
6,"corals",2000,0.758869466776676
9,"corals",2000,0.758869466776676
4,"corals",2001,0.734309342441046
8,"corals",2001,0.734309342441046
3,"corals",2001,0.734309342441046
5,"corals",2001,0.734309342441046
11,"corals",2001,0.734309342441046
1,"corals",2001,0.734309342441046
10,"corals",2001,0.734309342441046
7,"corals",2001,0.734309342441046
2,"corals",2001,0.734309342441046
6,"corals",2001,0.734309342441046
9,"corals",2001,0.734309342441046
4,"corals",2002,0.751770055835908
8,"corals",2002,0.751770055835908
3,"corals",2002,0.751770055835908
5,"corals",2002,0.751770055835908
11,"corals",2002,0.751770055835908
1,"corals",2002,0.751770055835908
10,"corals",2002,0.751770055835908
7,"corals",2002,0.751770055835908
2,"corals",2002,0.751770055835908
6,"corals",2002,0.751770055835908
9,"corals",2002,0.751770055835908
4,"corals",2003,0.581576069228851
8,"corals",2003,0.581576069228851
3,"corals",2003,0.581576069228851
5,"corals",2003,0.581576069228851
11,"corals",2003,0.581576069228851
1,"corals",2003,0.581576069228851
10,"corals",2003,0.581576069228851
7,"corals",2003,0.581576069228851
2,"corals",2003,0.581576069228851
6,"corals",2003,0.581576069228851
9,"corals",2003,0.581576069228851
4,"corals",2004,0.537828347756011
8,"corals",2004,0.537828347756011
3,"corals",2004,0.537828347756011
5,"corals",2004,0.537828347756011
11,"corals",2004,0.537828347756011
1,"corals",2004,0.537828347756011
10,"corals",2004,0.537828347756011
7,"corals",2004,0.537828347756011
2,"corals",2004,0.537828347756011
