"rgn_id","year","popsum"
1,2005,860057.998587063
1,2006,752579.94471883
1,2007,751715.12216092
1,2008,750850.277423514
1,2009,749985.434872361
1,2010,854888.172727894
1,2011,747775.909923592
1,2012,746431.226269185
1,2013,745086.53214992
1,2014,743741.830235722
1,2015,846984.285545252
2,2005,143009.573561436
2,2006,126681.61067961
2,2007,126584.886920314
2,2008,126488.161634518
2,2009,126391.435116055
2,2010,142477.301398713
2,2011,126070.804551852
2,2012,125846.90118997
2,2013,125622.99742987
2,2014,125399.090187679
2,2015,141228.66433095
3,2005,439876.702749316
3,2006,382037.163588831
3,2007,380338.399209326
3,2008,378639.624817573
3,2009,376940.853815028
3,2010,430069.595790434
3,2011,373284.553948275
3,2012,371327.034414992
3,2013,369369.505865996
3,2014,367411.974086398
3,2015,418784.511717056
4,2005,2703788.22543146
4,2006,2384304.06592546
4,2007,2410294.10611934
4,2008,2436284.15251871
4,2009,2462274.16661433
4,2010,2852564.78756195
4,2011,2513616.73615409
4,2012,2538969.33773709
4,2013,2564321.85847085
4,2014,2589674.3809903
4,2015,2997684.2303462
5,2005,445981.192737899
5,2006,380924.71552709
5,2007,374892.004256491
5,2008,368859.286567831
5,2009,362826.566517
5,2010,411033.515809732
5,2011,351000.908027111
5,2012,345207.972829204
5,2013,339415.031937563
5,2014,333622.082974301
5,2015,377502.004348186
6,2005,1196104.341823
6,2006,1039607.19114267
6,2007,1036526.48088186
6,2008,1033445.76224266
6,2009,1030365.03119668
6,2010,1178247.02797888
6,2011,1023411.75969466
6,2012,1019539.21444879
6,2013,1015666.66574763
6,2014,1011794.08266553
6,2015,1155854.7543669
7,2005,5146.87265183142
7,2006,4223.26118609792
7,2007,4169.85758682256
7,2008,4116.45369881963
7,2009,4063.04988194997
7,2010,4832.2819343743
7,2011,3956.6792550289
7,2012,3903.7125227357
7,2013,3850.74559358368
7,2014,3797.77862008696
7,2015,4519.06391861699
8,2005,761.616062866403
8,2006,632.545151308723
8,2007,622.213036281241
8,2008,611.880979512841
8,2009,601.548896611362
8,2010,700.421559046457
8,2011,581.279585292355
8,2012,571.342392538009
8,2013,561.405215790963
8,2014,551.468010103457
8,2015,641.564555193109
9,2005,25.3614339147471
9,2006,21.5509910000706
9,2007,21.2948520442617
9,2008,21.038711643975
9,2009,20.7825706311144
9,2010,23.9330408493336
9,2011,20.2759848414158
9,2012,20.0255391154591
9,2013,19.7750923776415
9,2014,19.5246458373004
9,2015,22.5385216982283
10,2005,29431.2336807692
10,2006,25356.0497670903
10,2007,25712.8683459473
10,2008,26069.6870927146
10,2009,26426.5051227714
10,2010,31540.0193568098
10,2011,27138.5436143867
10,2012,27493.7637331502
10,2013,27848.9836905729
10,2014,28204.2031098806
10,2015,33640.1968554442
11,2005,1735.18596542988
11,2006,1558.6426704938
11,2007,1533.23497496284
11,2008,1507.82729604356
11,2009,1482.41958571561
11,2010,1601.59117545876
11,2011,1433.2382282275
11,2012,1409.46462298215
11,2013,1385.69103738588
11,2014,1361.91738233154
11,2015,1476.45674473303
