"rgn_id","rgn_name","area_km2"
1,"Nova Scotia",5165.15926804
2,"Prince Edward Island",1267.84168465
3,"New Brunswick",1884.94647822
4,"British Columbia",18415.9157117
5,"Newfoundland and Labrador",20811.5155498
6,"Québec",17558.0689855
7,"Ontario",1695.9185765
8,"Manitoba",969.01372878
9,"Yukon",351.052210048
10,"Nunavut",94628.0390168
11,"Northwest Territories",13100.6860082
