"rgn_id","count","year"
5,26550000,1987
11,26550000,1987
1,26550000,1987
10,26550000,1987
7,26550000,1987
2,26550000,1987
6,26550000,1987
9,26550000,1987
4,26895000,1988
8,26895000,1988
3,26895000,1988
5,26895000,1988
11,26895000,1988
1,26895000,1988
10,26895000,1988
7,26895000,1988
2,26895000,1988
6,26895000,1988
9,26895000,1988
4,27379000,1989
8,27379000,1989
3,27379000,1989
5,27379000,1989
11,27379000,1989
1,27379000,1989
10,27379000,1989
7,27379000,1989
2,27379000,1989
6,27379000,1989
9,27379000,1989
4,27791000,1990
8,27791000,1990
3,27791000,1990
5,27791000,1990
11,27791000,1990
1,27791000,1990
10,27791000,1990
7,27791000,1990
2,27791000,1990
6,27791000,1990
9,27791000,1990
4,28171681.96,1991
8,28171681.96,1991
3,28171681.96,1991
5,28171681.96,1991
11,28171681.96,1991
1,28171681.96,1991
10,28171681.96,1991
7,28171681.96,1991
2,28171681.96,1991
6,28171681.96,1991
9,28171681.96,1991
4,28519597.36,1992
8,28519597.36,1992
3,28519597.36,1992
5,28519597.36,1992
11,28519597.36,1992
1,28519597.36,1992
10,28519597.36,1992
7,28519597.36,1992
2,28519597.36,1992
6,28519597.36,1992
9,28519597.36,1992
4,28833410.36,1993
8,28833410.36,1993
3,28833410.36,1993
5,28833410.36,1993
11,28833410.36,1993
1,28833410.36,1993
10,28833410.36,1993
7,28833410.36,1993
2,28833410.36,1993
6,28833410.36,1993
9,28833410.36,1993
4,29111906.4,1994
8,29111906.4,1994
3,29111906.4,1994
5,29111906.4,1994
11,29111906.4,1994
1,29111906.4,1994
10,29111906.4,1994
7,29111906.4,1994
2,29111906.4,1994
6,29111906.4,1994
9,29111906.4,1994
4,29354000,1995
8,29354000,1995
3,29354000,1995
5,29354000,1995
11,29354000,1995
1,29354000,1995
10,29354000,1995
7,29354000,1995
2,29354000,1995
6,29354000,1995
9,29354000,1995
4,29671900,1996
8,29671900,1996
3,29671900,1996
5,29671900,1996
11,29671900,1996
1,29671900,1996
10,29671900,1996
7,29671900,1996
2,29671900,1996
6,29671900,1996
9,29671900,1996
4,29987200,1997
8,29987200,1997
3,29987200,1997
5,29987200,1997
11,29987200,1997
1,29987200,1997
10,29987200,1997
7,29987200,1997
2,29987200,1997
6,29987200,1997
9,29987200,1997
4,30247900,1998
8,30247900,1998
3,30247900,1998
5,30247900,1998
11,30247900,1998
1,30247900,1998
10,30247900,1998
7,30247900,1998
2,30247900,1998
6,30247900,1998
9,30247900,1998
4,30499200,1999
8,30499200,1999
3,30499200,1999
5,30499200,1999
11,30499200,1999
1,30499200,1999
10,30499200,1999
7,30499200,1999
2,30499200,1999
6,30499200,1999
9,30499200,1999
4,30769700,2000
8,30769700,2000
3,30769700,2000
5,30769700,2000
11,30769700,2000
1,30769700,2000
10,30769700,2000
7,30769700,2000
2,30769700,2000
6,30769700,2000
9,30769700,2000
4,31081900,2001
8,31081900,2001
3,31081900,2001
5,31081900,2001
11,31081900,2001
1,31081900,2001
10,31081900,2001
7,31081900,2001
2,31081900,2001
6,31081900,2001
9,31081900,2001
4,31362000,2002
8,31362000,2002
3,31362000,2002
5,31362000,2002
11,31362000,2002
1,31362000,2002
10,31362000,2002
7,31362000,2002
2,31362000,2002
6,31362000,2002
9,31362000,2002
4,31676000,2003
8,31676000,2003
3,31676000,2003
5,31676000,2003
11,31676000,2003
1,31676000,2003
10,31676000,2003
7,31676000,2003
2,31676000,2003
6,31676000,2003
9,31676000,2003
4,31995000,2004
8,31995000,2004
3,31995000,2004
5,31995000,2004
11,31995000,2004
1,31995000,2004
10,31995000,2004
7,31995000,2004
2,31995000,2004
6,31995000,2004
9,31995000,2004
4,32312000,2005
8,32312000,2005
3,32312000,2005
5,32312000,2005
11,32312000,2005
1,32312000,2005
10,32312000,2005
7,32312000,2005
2,32312000,2005
6,32312000,2005
9,32312000,2005
4,32576074,2006
8,32576074,2006
3,32576074,2006
5,32576074,2006
11,32576074,2006
1,32576074,2006
10,32576074,2006
7,32576074,2006
2,32576074,2006
6,32576074,2006
9,32576074,2006
4,32927517,2007
8,32927517,2007
3,32927517,2007
5,32927517,2007
11,32927517,2007
1,32927517,2007
10,32927517,2007
7,32927517,2007
2,32927517,2007
6,32927517,2007
9,32927517,2007
4,33317662,2008
8,33317662,2008
3,33317662,2008
5,33317662,2008
11,33317662,2008
1,33317662,2008
10,33317662,2008
7,33317662,2008
2,33317662,2008
6,33317662,2008
9,33317662,2008
4,33726915,2009
8,33726915,2009
3,33726915,2009
5,33726915,2009
11,33726915,2009
1,33726915,2009
10,33726915,2009
7,33726915,2009
2,33726915,2009
6,33726915,2009
9,33726915,2009
4,34126547,2010
8,34126547,2010
3,34126547,2010
5,34126547,2010
11,34126547,2010
1,34126547,2010
10,34126547,2010
7,34126547,2010
2,34126547,2010
6,34126547,2010
9,34126547,2010
4,34483975,2011
8,34483975,2011
3,34483975,2011
5,34483975,2011
11,34483975,2011
1,34483975,2011
10,34483975,2011
7,34483975,2011
2,34483975,2011
6,34483975,2011
9,34483975,2011
4,34880491,2012
8,34880491,2012
3,34880491,2012
5,34880491,2012
11,34880491,2012
1,34880491,2012
10,34880491,2012
7,34880491,2012
2,34880491,2012
6,34880491,2012
9,34880491,2012
